,发行人,发生日期
0,内蒙古博源控股集团有限公司,2017-11-21
1,亿利资源集团有限公司,2017-11-21
2,中国城市建设控股集团有限公司,2017-11-17
3,甘肃宏良皮业股份有限公司,2017-11-13
4,甘肃宏良皮业股份有限公司,2017-11-13
5,上海市建设机电安装有限公司,2017-11-03
6,丹东港集团有限公司,2017-10-30
7,上海市建设机电安装有限公司,2017-10-20
8,上海市建设机电安装有限公司,2017-09-29
9,四川省煤炭产业集团有限责任公司,2017-09-28
10,上海市建设机电安装有限公司,2017-09-15
11,上海市建设机电安装有限公司,2017-08-31
12,五洋建设集团股份有限公司,2017-08-14
13,五洋建设集团股份有限公司,2017-08-14
14,湖州厉华妤婕联合纺织有限公司,2017-08-10
15,大连机床集团有限责任公司,2017-07-31
16,东北特殊钢集团有限责任公司,2017-07-17
17,中国城市建设控股集团有限公司,2017-07-14
18,信阳市弘昌管道燃气工程有限责任公司,2017-06-19
19,信阳市弘昌管道燃气工程有限责任公司,2017-06-19
20,中国城市建设控股集团有限公司,2017-06-12
21,大连机床集团有限责任公司,2017-05-24
22,四川省煤炭产业集团有限责任公司,2017-05-19
23,四川省煤炭产业集团有限责任公司,2017-05-15
24,山东山水水泥集团有限公司,2017-05-12
25,内蒙古奈伦集团股份有限公司,2017-05-04
26,内蒙古奈伦集团股份有限公司,2017-05-04
27,春和集团有限公司,2017-04-24
28,春和集团有限公司,2017-04-24
29,东北特殊钢集团有限责任公司,2017-04-12
30,珠海中富实业股份有限公司,2017-03-28
31,华盛江泉集团有限公司,2017-03-13
32,华盛江泉集团有限公司,2017-03-13
33,中国城市建设控股集团有限公司,2017-03-01
34,山东山水水泥集团有限公司,2017-02-27
35,大连机床集团有限责任公司,2017-02-13
36,大连机床集团有限责任公司,2017-02-07
37,大连机床集团有限责任公司,2017-02-06
38,内蒙古博源控股集团有限公司,2017-02-03
39,东北特殊钢集团有限责任公司,2017-01-16
40,大连机床集团有限责任公司,2017-01-16
41,大连机床集团有限责任公司,2016-12-29
42,四川省煤炭产业集团有限责任公司,2016-12-26
43,中国城市建设控股集团有限公司,2016-12-19
44,广州华工百川科技有限公司,2016-12-16
45,惠州侨兴电信工业有限公司,2016-12-15
46,惠州侨兴电信工业有限公司,2016-12-15
47,惠州侨兴电信工业有限公司,2016-12-15
48,惠州侨兴电信工业有限公司,2016-12-15
49,惠州侨兴电信工业有限公司,2016-12-15
50,惠州侨兴电信工业有限公司,2016-12-15
51,惠州侨兴电讯工业有限公司,2016-12-15
52,惠州侨兴电讯工业有限公司,2016-12-15
53,惠州侨兴电信工业有限公司,2016-12-15
54,惠州侨兴电讯工业有限公司,2016-12-15
55,惠州侨兴电讯工业有限公司,2016-12-15
56,惠州侨兴电讯工业有限公司,2016-12-15
57,惠州侨兴电讯工业有限公司,2016-12-15
58,惠州侨兴电讯工业有限公司,2016-12-15
59,大连机床集团有限责任公司,2016-12-12
60,中国城市建设控股集团有限公司,2016-12-09
61,内蒙古博源控股集团有限公司,2016-12-05
62,中国城市建设控股集团有限公司,2016-11-28
63,中国城市建设控股集团有限公司,2016-11-28
64,中国城市建设控股集团有限公司,2016-11-28
65,大连机床集团有限责任公司,2016-11-21
66,河北省物流产业集团有限公司,2016-11-17
67,山东迪浩耐磨管道股份有限公司,2016-11-14
68,莱芜信通印刷设备有限公司,2016-11-03
69,武汉国裕物流产业集团有限公司,2016-10-28
70,百花医药集团股份有限公司,2016-10-21
71,百花医药集团股份有限公司,2016-10-21
72,亚邦投资控股集团有限公司,2016-09-29
73,东北特殊钢集团有限责任公司,2016-09-26
74,金乡县华光食品进出口有限公司,2016-09-21
75,东北特殊钢集团有限责任公司,2016-09-06
76,华珠(泉州)鞋业有限公司,2016-08-22
77,武汉国裕物流产业集团有限公司,2016-08-08
78,上海云峰(集团)有限公司,2016-08-01
79,河南佳源乳业股份有限公司,2016-07-28
80,东北特殊钢集团有限责任公司,2016-07-18
81,东北特殊钢集团有限责任公司,2016-07-11
82,东兴金满堂商贸有限公司,2016-06-17
83,四川省煤炭产业集团有限责任公司,2016-06-15
84,甘肃华协农业生物科技股份有限公司,2016-06-13
85,甘肃华协农业生物科技股份有限公司,2016-06-13
86,东北特殊钢集团有限责任公司,2016-06-06
87,甘肃华协农业生物科技股份有限公司,2016-06-01
88,甘肃华协农业生物科技股份有限公司,2016-06-01
89,鄂尔多斯市益通路桥有限公司,2016-05-29
90,春和集团有限公司,2016-05-16
91,保定天威英利新能源有限公司,2016-05-12
92,天津市泰亨气体有限公司,2016-05-10
93,东北特殊钢集团有限责任公司,2016-05-05
94,内蒙古奈伦集团股份有限公司,2016-05-04
95,内蒙古奈伦集团股份有限公司,2016-05-04
96,广西有色金属集团有限公司,2016-04-22
97,保定天威集团有限公司,2016-04-21
98,东北特殊钢集团有限责任公司,2016-04-12
99,中煤集团山西华昱能源有限公司,2016-04-06
100,东北特殊钢集团有限责任公司,2016-04-05
101,保定天威集团有限公司,2016-03-28
102,东北特殊钢集团有限责任公司,2016-03-28
103,南京雨润食品有限公司,2016-03-17
104,江苏中联物流股份有限公司,2016-03-13
105,中成新星油田工程技术服务股份有限公司,2016-03-10
106,广西有色金属集团有限公司,2016-03-09
107,淄博宏达矿业有限公司,2016-03-08
108,上海云峰(集团)有限公司,2016-02-29
109,上海云峰(集团)有限公司,2016-02-29
110,上海云峰(集团)有限公司,2016-02-29
111,上海云峰(集团)有限公司,2016-02-29
112,中恒通(福建)机械制造有限公司,2016-02-29
113,上海云峰(集团)有限公司,2016-02-29
114,上海云峰(集团)有限公司,2016-02-29
115,保定天威集团有限公司,2016-02-24
116,山东山水水泥集团有限公司,2016-02-14
117,亚邦投资控股集团有限公司,2016-02-14
118,山东山水水泥集团有限公司,2016-01-21
119,保定天威集团有限公司,2015-12-30
120,陕西国德电气制造有限公司,2015-12-25
121,山东滨州新天阳化工有限责任公司,2015-12-20
122,四川圣达集团有限公司,2015-12-07
123,重庆市福星门业(集团)有限公司,2015-11-30
124,山东山水水泥集团有限公司,2015-11-12
125,浙江平湖华龙实业股份有限公司,2015-10-29
126,内蒙古奈伦农业科技股份有限公司,2015-10-28
127,中国中钢股份有限公司,2015-10-19
128,保定天威英利新能源有限公司,2015-10-13
129,中国第二重型机械集团公司,2015-09-15
130,吉林粮食集团收储经销有限公司,2015-09-15
131,上海市建设机电安装有限公司,2015-08-24
132,重庆市福星门业(集团)有限公司,2015-08-07
133,江苏大宏纺织集团股份有限公司,2015-07-15
134,珠海中富实业股份有限公司,2015-05-25
135,保定天威集团有限公司,2015-04-21
136,波鸿集团有限公司,2015-04-12
137,中科云网科技集团股份有限公司,2015-04-07
138,东飞马佐里纺机有限公司,2015-03-21
139,宿迁市致富皮业有限公司,2015-02-05
140,安徽蓝博旺机械集团,2015-02-04
141,东飞马佐里纺机有限公司,2015-01-27
142,华珠(泉州)鞋业有限公司,2014-08-25
143,天津市天联滨海复合材料有限公司,2014-07-31
144,湖州金泰科技股份有限公司,2014-07-23
145,湖州金泰科技股份有限公司,2014-07-23
146,中伟(徐州)新型材料科技有限公司,2014-05-28
147,协鑫集成科技股份有限公司,2014-03-05
